id,query,expected_intent_type,expected_priority
48,에너지 효율성을 높이는 방법을 알려주세요,OPTIMIZATION,MEDIUM
49,공정 시간을 단축할 수 있을까요?,OPTIMIZATION,MEDIUM
50,웨이퍼 처리량을 증가시키고 싶습니다,OPTIMIZATION,MEDIUM
51,불량률을 줄이는 최적화 방안을 제안해주세요,OPTIMIZATION,MEDIUM
52,챔버 청소 주기를 최적화하고 싶어요,OPTIMIZATION,MEDIUM
53,가스 사용량을 효율적으로 관리하려면?,OPTIMIZATION,MEDIUM
54,장비 가동률을 높이는 방법을 찾아주세요,OPTIMIZATION,MEDIUM
55,식각 균일도를 개선할 수 있나요?,OPTIMIZATION,MEDIUM
56,전력 소비를 최소화하면서 성능은 유지하고 싶어요,OPTIMIZATION,MEDIUM
57,레시피 파라미터를 최적화해주세요,OPTIMIZATION,MEDIUM
58,장비 활용도를 극대화하려면 어떻게 해야 하나요?,OPTIMIZATION,MEDIUM
59,공정 안정성을 향상시키고 싶어요,OPTIMIZATION,MEDIUM
60,웨이퍼 품질 일관성을 높이려면?,OPTIMIZATION,MEDIUM
61,반도체 제조 비용을 절감하고 싶습니다,OPTIMIZATION,MEDIUM
62,공급망 효율성을 개선할 방법은?,OPTIMIZATION,MEDIUM
63,장비 예방 보전 계획을 최적화해주세요,OPTIMIZATION,MEDIUM
64,생산 스케줄링을 개선하고 싶어요,OPTIMIZATION,MEDIUM
65,원자재 재고를 최적화하려면?,OPTIMIZATION,MEDIUM
66,인력 배치를 효율적으로 하고 싶어요,OPTIMIZATION,MEDIUM
67,설비 투자 우선순위를 정하고 싶어요,OPTIMIZATION,MEDIUM
68,제품 품질 관리 프로세스를 개선해주세요,OPTIMIZATION,MEDIUM
69,생산 라인 밸런싱을 최적화하려면?,OPTIMIZATION,MEDIUM
70,환경 영향을 최소화하면서 생산성을 높이려면?,OPTIMIZATION,MEDIUM
71,스마트 팩토리 구현을 위한 개선 방안은?,OPTIMIZATION,MEDIUM
72,CVD 온도를 350도로 설정해주세요,CONTROL,MEDIUM
73,압력을 100mTorr로 조정해주세요,CONTROL,MEDIUM
74,가스 플로우를 50sccm으로 변경해주세요,CONTROL,MEDIUM
75,장비를 긴급 정지시켜주세요,CONTROL,HIGH
76,RF 파워를 2000W로 올려주세요,CONTROL,MEDIUM
77,펌프를 시작해주세요,CONTROL,MEDIUM
78,자동 모드로 전환해주세요,CONTROL,MEDIUM
79,레시피 A를 로드해주세요,CONTROL,MEDIUM
80,웨이퍼 처리를 시작해주세요,CONTROL,MEDIUM
81,챔버 퍼지를 실행해주세요,CONTROL,MEDIUM
82,진공 배기를 중지해주세요,CONTROL,MEDIUM
83,히터를 켜주세요,CONTROL,MEDIUM
84,공정을 일시정지해주세요,CONTROL,MEDIUM
85,안전 모드로 전환해주세요,CONTROL,HIGH
86,시스템을 리셋해주세요,CONTROL,MEDIUM
87,다음 주 생산량을 예측해주세요,PREDICTION,MEDIUM
88,장비 교체 시기가 언제쯤 될까요?,PREDICTION,MEDIUM
89,수율 트렌드 분석 결과를 알고 싶어요,PREDICTION,MEDIUM
90,향후 6개월간 유지보수 비용은?,PREDICTION,MEDIUM
91,이 설정으로 웨이퍼 품질이 어떻게 될까요?,PREDICTION,MEDIUM
92,연말까지 장비 가동률 전망은?,PREDICTION,MEDIUM
93,공정 변경 시 수율 변화를 예측해주세요,PREDICTION,MEDIUM
94,내일 생산 계획에 맞는 처리량 예상은?,PREDICTION,MEDIUM
95,장비 고장 위험도를 분석해주세요,PREDICTION,MEDIUM
96,다음 분기 에너지 사용량 예측이 필요해요,PREDICTION,MEDIUM
97,웨이퍼 불량률 추이를 분석해주세요,PREDICTION,MEDIUM
98,신규 레시피 적용 시 결과 예상치는?,PREDICTION,MEDIUM
99,장비 성능 저하 시점을 예측해주세요,PREDICTION,MEDIUM
100,공급망 차질이 생산에 미칠 영향은?,PREDICTION,MEDIUM
101,시장 수요에 따른 생산량 조정 분석,PREDICTION,MEDIUM
102,현재 생산량이 얼마나 되나요?,INFORMATION,LOW
103,오늘 수율 현황을 알려주세요,INFORMATION,LOW
104,장비 가동률 통계를 보여주세요,INFORMATION,LOW
105,현재 웨이퍼 재고량은 얼마인가요?,INFORMATION,LOW
106,이번 주 생산 실적을 알려주세요,INFORMATION,LOW
107,장비별 처리량 데이터를 보여주세요,INFORMATION,LOW
108,품질 검사 결과를 확인하고 싶어요,INFORMATION,LOW
109,공정 파라미터 설정값을 알려주세요,INFORMATION,LOW
110,유지보수 기록을 조회해주세요,INFORMATION,LOW
111,에너지 사용량 현황은 어떻게 되나요?,INFORMATION,LOW
112,현재 가동 중인 장비 목록을 알려주세요,INFORMATION,LOW
113,공정별 소요시간 데이터를 보여주세요,INFORMATION,LOW
114,원자재 소모량 통계가 궁금해요,INFORMATION,LOW
115,불량품 발생 현황을 알려주세요,INFORMATION,LOW
116,현재 시스템 상태를 확인하고 싶어요,INFORMATION,LOW
