id,intent,query
Q015,PREDICTION,"Etching 공정의 10번 Etcher에서 RF_Power 리플이 낮은 빈도로 관측되고 있습니다. 이번 주 생산 로트가 끝날 때까지 엔드포인트 검출 실패 확률이 얼마나 증가할지 추정하고, 생산 손실 규모도 범위로 제시해 주세요. 참고로 챔버 청소는 어제 야간에 완료했습니다."
Q016,PREDICTION,"CMP 공정의 6번 CMP에서 압력 피드백 응답이 점점 느려지고 있습니다. 현재 트렌드가 유지되면 패드 마모 및 디싱 불량률이 언제부터 유의하게 상승하는지 예측해 주세요. 가능하면 12시간 단위로 위험도를 곡선으로 설명해 주세요. 참고로 슬러리 공급 세팅은 고정입니다."
Q017,PREDICTION,"Diffusion 공정의 9번 Diffusion에서 온도 프로파일 하강 구간이 길어지는 경향이 보입니다. 다음 24시간 동안 웨이퍼 간 도핑 균일도에 미칠 영향을 정량 예측하고, 공정 조건 유지 시 수율 하락폭을 범위로 제시해 주세요. 참고로 쿨링 팬 교체는 아직 하지 않았습니다."
Q018,PREDICTION,"PVD 공정의 2번 PVD에서 진공 회복 시간이 평균보다 8% 길어졌습니다. 야간 시프트까지 같은 속도로 진행한다면 파티클 카운트가 임계치를 넘길 확률을 예측해 주세요. 시간대별 리스크를 표로 주시면 좋겠습니다. 참고로 로드록 오링 교체는 지난 달에 실시했습니다."
Q019,PREDICTION,"Wet 공정의 12번 Wet에서 Rotation_Speed 변동 폭이 하루에 0.2%p씩 증가 중입니다. 세척 불량(워터마크) 발생률이 언제부터 유의하게 상승할지 예측하고, 해당 시점 이전에 개입해야 하는지 판단 기준도 제시해 주세요. 참고로 용액 농도는 스펙 안입니다."
Q020,PREDICTION,"Implant 공정의 5번 Implanter에서 빔 커런트 안정도가 소폭 악화되고 있습니다. 일주일 누적 기준으로 임플란트 도즈 편차가 규격 상한에 접근할 가능성을 퍼센트로 예측해 주세요. 공정 중단 없이 유지 가능한 기간도 함께 알려 주세요. 참고로 소스 교체는 2주 전 진행했습니다."
Q021,PREDICTION,"Anneal 공정의 7번 Furnace에서 산소 유입량 추정치가 소폭 증가세입니다. 다음 36시간 내 시트저항 분포가 허용 범위를 벗어날 확률을 추정하고, 온도/시간 보정 없이 운영 가능한 시간 한계도 제시해 주세요. 참고로 배기 덕트 청소는 예정되어 있습니다."
Q022,PREDICTION,"Metrology 라인의 4번 CD_SEM에서 포커스 드리프트 보정 빈도가 증가했습니다. 앞으로 이틀 동안 CD 측정 오차가 공정 피드백에 미칠 영향(에칭 오버/언더) 확률을 예측해 주세요. 위험한 레시피군도 함께 표시해 주세요. 참고로 교정 웨이퍼는 동일 로트입니다."

Q023,CONTROL,"8번 Etcher의 엔드포인트 검출 안정화를 위해 레시피 파라미터를 소폭 조정하고 싶습니다. 안전 범위 내에서 RF_Power와 가스 유량의 권장 변경값을 제안하고, 적용 전 간단한 시뮬레이션 결과와 예상 리스크를 함께 제공해 주세요. 참고로 현재 레시피는 지난 달 승인본입니다."
Q024,CONTROL,"3번 PVD에서 막두께 산포를 줄이기 위해 스퍼터 타겟 전력과 압력을 조정하려고 합니다. 처리량을 유지하는 조건에서의 최적 제어 시퀀스를 제안하고, 인터락 조건 및 롤백 기준도 포함해 주세요. 참고로 타겟은 교체 후 200장 사용 상태입니다."
Q025,CONTROL,"11번 CMP에서 엔드포인트 변동을 줄이기 위해 압력/회전수 피드백 게인을 조정하려 합니다. 안전한 튜닝 범위와 단계별 적용 순서를 정리해 주시고, 예상 사이드이펙트(스크래치/디싱)도 사전에 평가해 주세요. 참고로 패드는 교체 3일 차입니다."
Q026,CONTROL,"5번 CVD에서 Gas_Flow의 순간 튐을 억제하기 위해 MFC 응답 파라미터를 조정하고자 합니다. 현재 조건 대비 권장 세트와 모니터링 포인트(알람 한계)를 함께 제시해 주세요. 적용 전후 확인 체크리스트도 필요합니다. 참고로 레시피는 변동 없습니다."
Q027,CONTROL,"2번 Diffusion에서 냉각 단계의 온도 안정화를 위해 램프다운 프로파일을 수정하려 합니다. 산화 품질 저하 없이 가능한 변경 폭과 검증용 미니-런 계획을 제안해 주세요. 실패 시 원복 기준도 포함해 주세요. 참고로 현재 팬 속도는 스펙 내 최저값입니다."
Q028,CONTROL,"10번 Wet에서 회전 안정화를 위해 서보 제어 파라미터를 보정하고 싶습니다. 공정 중단 없이 적용 가능한 온더플라이 조정 절차와 인터락 조건을 정리해 주세요. 예상 진동 범위 개선폭도 추정해 주시면 좋겠습니다. 참고로 베어링은 최근 교체했습니다."
Q029,CONTROL,"1번 Implanter에서 어벌추어 제어로 빔 안정도를 높이고자 합니다. 도즈 편차를 최소화하는 제어 파라미터 셋과 스텝별 검증 시나리오를 제안해 주세요. 안전 관련 인터락 목록도 포함해 주세요. 참고로 소스 온도는 상한 근처입니다."
Q030,CONTROL,"14번 Photo에서 스테이지 어라인먼트 반복성을 끌어올리기 위해 보정 루틴을 업데이트하려 합니다. 보정 순서, 실패 시 재시도 규칙, 성공 기준을 문서화해 주세요. 생산 속도 저하 없이 적용할 수 있어야 합니다. 참고로 마크 인식 품질은 양호합니다."
Q031,CONTROL,"4번 Furnace에서 산소 유량 제어를 개선해 시트저항 변동을 줄이고자 합니다. 유량 컨트롤러 보상 게인과 샘플링 주기 변경안을 제시하고, 시뮬레이션 기반 위험 평가도 포함해 주세요. 참고로 배기 압력은 안정적입니다."
Q032,CONTROL,"6번 PVD에서 진공 회복이 지연될 때 자동으로 셋백을 걸고 복귀하는 제어 시퀀스를 설계해 주세요. 조건식, 타임아웃, 알람 처리 로직까지 포함한 상태머신 형태로 제안 바랍니다. 참고로 로드록 사용률이 높습니다."

Q033,INFORMATION,"CVD 공정 기준으로 최근 12시간 동안 9번 CVD에서 발생한 주요 알람과 조치 이력을 정리해 주세요. 동일 레시피의 막두께/균일도 요약 통계와 간단한 트렌드 그래프 링크도 함께 부탁드립니다. 참고로 야간조에서 두 차례 알람이 있었습니다."
Q034,INFORMATION,"Etching 라인에서 이번 주 처리한 로트 중 RF_Power 기준 상위/하위 5개 런을 목록으로 보고 싶습니다. 각 런의 공정 조건 요약과 메트롤로지 결과 링크를 함께 정리해 주세요. 참고로 레시피 버전은 v2.4입니다."
Q035,INFORMATION,"CMP 공정 11번 장비의 지난 24시간 엔드포인트 분포, 압력/회전수 트렌드, 알람 발생 타임라인을 한 페이지 리포트로 정리해 주세요. 이상 구간에 주석이 있으면 좋겠습니다. 참고로 패드 교체 이력은 포함해 주세요."
Q036,INFORMATION,"Diffusion 7번 Furnace의 최근 3일 온도 프로파일 요약과 산화 두께 결과를 테이블로 보고 싶습니다. 레시피별 산포와 장비 상태 노트도 첨부해 주세요. 참고로 야간 정비는 없었습니다."
Q037,INFORMATION,"Photo 14번 Stepper에서 지난주 발생한 어라인먼트 실패 케이스만 모아서 실패 원인 분류와 재작업 여부를 정리해 주세요. 마스크별/레시피별로 나눠 주시면 좋겠습니다. 참고로 마스크 교체는 수요일에 있었습니다."
Q038,INFORMATION,"PVD 2번 장비의 지난 48시간 진공 레벨, 배기 상태, 타겟 사용량을 요약한 상태 리포트를 만들어 주세요. 경향성 주석과 임계치 대비 여유도 표시를 부탁드립니다. 참고로 로드락 오픈 횟수도 함께 보고해 주세요."
Q039,INFORMATION,"Wet 10번 장비의 회전 속도 안정도와 세척 불량률의 상관 요약을 요청합니다. 시간 구간별 산점도/상관계수와 주요 이슈 타임라인을 포함해 주세요. 참고로 용액 교체는 어제 18시에 진행했습니다."
Q040,INFORMATION,"Implant 1번 장비에서 최근 한 달간 도즈 편차 상위 10개 런과 해당 조건(에너지/도즈/각도)을 표로 정리해 주세요. 재발 방지 조치가 있었는지도 코멘트 바랍니다. 참고로 소스 교체 주기는 3주입니다."
Q041,INFORMATION,"Metrology 4번 CD_SEM의 포커스 드리프트 보정 이력과 보정 후 잔차를 요약해 주세요. 공정 피드백에 사용된 케이스도 표시 바랍니다. 참고로 교정 웨이퍼는 동일입니다."
Q042,INFORMATION,"전체 라인 기준으로 지난 24시간 주요 알람 TOP 10과 해당 알람의 평균 해소 시간(MTTR)을 대시보드 형식으로 보고해 주세요. 장비군/레시피별 필터도 포함되면 좋겠습니다. 참고로 교대는 3교대 운영입니다."

Q043,OPTIMIZATION,"CMP 라인의 처리량을 낮추지 않으면서 엔드포인트 산포를 줄일 수 있는 최적 파라미터 조합을 찾아 주세요. 지난 3주 히스토리 데이터를 활용해 권장 레시피와 예상 개선 폭(수율/막질)을 정리해 주세요. DoE 제안도 포함해 주시면 좋겠습니다. 참고로 슬러리 종류는 고정입니다."
Q044,OPTIMIZATION,"CVD 공정에서 에너지 사용량을 5% 이상 절감하되 막질 저하 없이 달성하고 싶습니다. 가스 플로우/온도/압력 포함 다변량 최적화안을 제안하고, 검증 계획과 안전 한계도 함께 주세요. 참고로 가스 라인 업그레이드는 어려운 상황입니다."
Q045,OPTIMIZATION,"Etching 공정에서 라인 속도를 유지하면서 엔드포인트 검출 안정화를 달성하기 위한 파라미터 튜닝 계획을 제안해 주세요. 영향도가 큰 변수 우선순위와 단계별 검증 런 수를 포함해 주세요. 참고로 레시피 변경 승인 절차가 필요합니다."
Q046,OPTIMIZATION,"PVD 공정에서 막두께 산포와 파티클을 동시에 줄이는 트레이드오프 최적점을 찾고 싶습니다. 타겟 전력/압력/시간을 변수로 한 최적화와 기대 개선 폭을 수치로 제시해 주세요. 참고로 타겟은 교체 100장 경과 상태입니다."
Q047,OPTIMIZATION,"Photo 라인에서 어라인먼트 반복성을 높이면서 스루풋 저하를 최소화하는 최적 보정 주기와 점검 시간표를 제안해 주세요. 데이터 기반 근거와 예비 실험 계획을 포함해 주세요. 참고로 마스크 교체 주기는 변동적입니다."
Q048,OPTIMIZATION,"Wet 공정에서 회전 안정도와 세척 효율을 동시에 개선하는 파라미터 묶음을 추천해 주세요. 용액 농도/온도/회전수 조합을 탐색하고, 예상 개선폭과 리스크를 표로 정리해 주세요. 참고로 탱크 용량 제약이 있습니다."
Q049,OPTIMIZATION,"Implant 공정에서 도즈 균일도와 처리량을 함께 끌어올릴 수 있는 제어 전략을 제안해 주세요. 빔 커런트/스캔 속도/웨이퍼 온도 변수로 최적안을 찾고, 검증용 파일럿 런 설계를 포함해 주세요. 참고로 소스 교체 주기는 고정입니다."
Q050,OPTIMIZATION,"Diffusion 공정에서 산화 두께 산포를 줄이면서 사이클 타임을 단축하는 조건을 찾고 싶습니다. 램프업/램프다운 시간과 산소 유량을 변수로 다목적 최적화를 수행한 권장안을 제시해 주세요. 참고로 쿼츠튜브 교체는 다음 달 예정입니다."
Q051,OPTIMIZATION,"Metrology 측정 스케줄을 최적화해 공정 피드백 지연을 줄이고자 합니다. 장비 가용성과 중요 레시피 우선순위를 고려한 스케줄링안을 제안해 주세요. 기대 지연 단축 폭도 수치로 부탁드립니다. 참고로 야간 인력은 제한적입니다."
Q052,OPTIMIZATION,"전체 라인 에너지 소비를 3% 줄이기 위한 운영 최적화안을 제시해 주세요. 대기 모드 조건, 로트 배치 전략, 야간 운전 정책까지 포함해 정리해 주세요. 예상 절감량을 근거와 함께 수치로 제시해 주세요. 참고로 설비 증설은 계획에 없습니다."

Q053,ANOMALY_CHECK,"어제 심야부터 13번 RTP에서 램프업 구간의 온도 상승률이 평균 대비 10%가량 낮게 관측됩니다. 첫 런은 정상 범위였지만 이후 런에서 점차 편차가 커지는 양상입니다. 최근 24시간의 온도/전류 로그를 기반으로 즉시 점검이 필요한지 평가하고, 센서 오프셋 가능성도 함께 검토해 주세요. 레시피와 로트 조건은 동일합니다."
Q054,ANOMALY_CHECK,"EPI 4번 캐빈에서 진공 레벨이 설정값 근처에서 미세 진동하는 현상이 있습니다. 두 런 연속으로 성장률이 기준 대비 2% 낮게 나왔고, 표면 거칠기도 소폭 악화되었습니다. 펌프/배기 로그와 알람 히스토리를 토대로 설비 이상 신호인지 판단 부탁드립니다. 공정 조건 변경은 없었고, 캐리어도 동일합니다."
Q055,ANOMALY_CHECK,"Lithography 9번 Stepper에서 레티클 포커스 보정이 런 중간에 잦아졌습니다. 금일 오전 첫 런은 정상이나 이후 세 런에서 모두 보정 횟수가 증가했고, 일부 샷에서 오버레이 잔차가 컸습니다. 장비 상태 로그와 환경 데이터(진동/온도)를 함께 확인해 즉시 점검 필요성을 알려 주세요."
Q056,ANOMALY_CHECK,"Wet 6번 스테이션에서 회전 모터가 가끔 목표 RPM에 늦게 도달합니다. 두 런 연속 엔드 포인트 근처에서 세척 효율이 낮았고, 워터마크 불량이 소량 검출되었습니다. 모터 드라이브 전류/진동 트렌드를 기준으로 베어링 이상 가능성이 있는지 평가해 주세요. 용액 농도와 온도는 스펙 내입니다."
Q057,ANOMALY_CHECK,"Etcher 15번 챔버에서 RF_Power 리플이 특정 시간대(03:00~05:00)에만 상승합니다. 지난 3일간 동일 패턴이 반복되었고, 동일 레시피임에도 에칭 깊이 산포가 확대되었습니다. 시간대별 전력 품질/접지 상태와의 상관을 포함해 이상 신호 여부를 판단해 주세요."
Q058,ANOMALY_CHECK,"CVD 8번에서 Gas_Flow 튐 알람이 최근 6시간 간격으로 한 번씩 발생합니다. 즉시 재시도하면 정상으로 돌아오지만 막두께 균일도에 미세한 영향이 있는 듯합니다. MFC 응답/압력 트렌드와 동기화해 밸브 스틱션이나 라인 미세 누설 가능성을 검토해 주세요. 레시피는 지난달 승인본입니다."
Q059,ANOMALY_CHECK,"PVD 7번에서 타겟 컨디셔닝 직후 파티클 카운트가 급증하는 일이 두 번 연속 발생했습니다. 컨디셔닝 전후 압력/전력 로그를 교차 검토하여 타겟 표면 상태 이상인지, 배기 계통 문제인지 판별해 주세요. 로드록 오픈 횟수는 평소와 동일합니다."
Q060,ANOMALY_CHECK,"Diffusion 2번 퍼니스의 쿨다운 구간에서 온도 프로파일 재현성이 저하되었습니다. 금일 오전 런에서만 하강 속도가 들쭉날쭉했고, 산화 두께 산포가 확대되었어요. 팬 속도/배기 압력/온도 센서 보정값을 종합해 설비 이상 여부를 판단해 주세요. 레시피와 로트 구성은 변화 없습니다."
Q061,ANOMALY_CHECK,"CMP 5번 장비에서 패드 컨디셔닝 후 첫 두 런에서만 엔드포인트 시그널이 약해집니다. 이후 런은 정상으로 회복되는 패턴입니다. 컨디셔너 토크/슬러리 유량/패드 온도 로그를 기준으로 기계적 접촉 불안정 혹은 슬러리 공급 문제 가능성을 평가해 주세요."
Q062,ANOMALY_CHECK,"Ash 3번(플라즈마 스트리퍼)에서 챔버 압력 피드백이 간헐적으로 오버슈트합니다. 레시피는 동일하고, 최근 일주일 중 어제 야간부터 빈도가 높아졌습니다. 압력 센서/컨트롤 밸브 응답을 비교해 즉각적인 유지보수 필요 여부를 판단해 주세요."
Q063,ANOMALY_CHECK,"Implanter 6번에서 빔 커런트 안정화 시간이 평소보다 20~30초 길어졌습니다. 도즈 편차가 상한에 근접하는 런이 두 차례 있었고, 빔 포커스 보정도 늘었습니다. 소스 온도/자석 전류/챔버 진공 로그를 토대로 원인 추정과 점검 우선순위를 제시해 주세요."
Q064,ANOMALY_CHECK,"RTP 11번에서 램프다운 구간의 온도 흔들림이 특정 레시피에서만 나타납니다. 동일 레시피, 동일 캐리어 기준 두 런 연속으로 동일 현상이 재현되었습니다. 램프 제어/열전대 입력/냉각풍 제어 로그를 바탕으로 제어 루프 이상 여부를 판정해 주세요."
Q065,ANOMALY_CHECK,"Photo 12번에서 스테이지 Z축 드리프트 보정 횟수가 교대 이후 증가했습니다. 포커스 맵 일부 영역에서 잔차가 커졌고, 리워크 빈도도 약간 상승했습니다. 환경 로그(온습도/진동)와 장비 자가진단 결과를 포함해 설비 이상 여부를 평가해 주세요."
Q066,ANOMALY_CHECK,"Wet 9번에서 스핀 건조 단계의 소음이 평소보다 커졌고, 진동 센서 RMS가 약간 상승했습니다. 바로 다음 런에서 건조 실패가 1건 발생했습니다. 모터/베어링/팬 상태를 나타내는 진동/전류/온도 로그를 교차검토하여 긴급 정지 필요성 여부를 알려 주세요."
Q067,ANOMALY_CHECK,"Etcher 4번에서 엔드포인트 검출 SNR이 특정 가스 조합에서 하락합니다. 동일 조합으로 두 런 연속 재현되었고, 오버에칭 경향이 보입니다. 스펙트럼 로그/광학 센서 게인/플라즈마 발광 트렌드를 근거로 센서 계통 이상인지 공정 조건 문제인지 판단해 주세요."
Q068,ANOMALY_CHECK,"ALD 1번에서 펄스 간 압력 회복이 느려지고 있습니다. 지난 12시간 동안 사이클 타임이 평균 대비 5% 증가했고, 막질 평가에서 표면 거칠기 악화가 의심됩니다. 밸브 타이밍/배기능/백프레셔 로그를 확인해 즉시 보전 필요성을 평가해 주세요."
Q069,ANOMALY_CHECK,"CVD 10번에서 챔버 링 온도 센서가 간헐적으로 튀며, 해당 시점에 막두께 국부 불균일이 발생합니다. 동일 현상이 두 번 연속 재현되었습니다. 센서 케이블 접촉/노이즈 유입/실제 열적 불안정 중 어느 쪽이 유력한지 로그 기반으로 판정해 주세요."
Q070,ANOMALY_CHECK,"PVD 1번에서 진공 회복 시간이 특정 로드록 포트 사용 시에만 길어집니다. 같은 포트를 사용할 때마다 재현되며, 파티클 카운트도 미세하게 증가합니다. 포트 씰링/오링 상태 및 밸브 동작 로그를 종합해 즉시 교체 필요성을 알려 주세요."
Q071,ANOMALY_CHECK,"Diffusion 14번에서 산소 유량 센서 값이 이따금 스텝 형태로 변합니다. 같은 타임스탬프에 배기 압력 로그가 소폭 변하는 것이 관찰됩니다. 센서 드리프트인지 실제 유량 변동인지 분리 진단해 주시고, 운전 지속 가능 여부를 판단해 주세요."
Q072,ANOMALY_CHECK,"CMP 2번에서 로딩 직후 초기 30초 동안 슬러리 유량이 목표 대비 낮게 흐릅니다. 그 구간만 표면 결함률이 높아지는 추세입니다. 유량 제어 응답/라인 압력/필터 차압 로그를 기준으로 밸브 혹은 필터계 문제 가능성을 평가해 주세요. 레시피는 동일합니다."


Q073,ANOMALY_CHECK,"Photo 3번 Stepper에서 오늘 오전 특정 레티클만 사용하면 샷 경계부 오버레이 잔차가 급격히 커집니다. 같은 레티클로 두 런 연속 재현되었고, 다른 레티클에선 정상입니다. 레티클 클리닝/클램프 상태/스테이지 진공 로그를 교차 검토해 즉시 점검 필요 여부를 알려 주세요."
Q074,ANOMALY_CHECK,"Wet 2번에서 드레인 밸브가 가끔 닫힘 지연을 보입니다. 해당 시점에 용액 레벨 센서가 튀고, 세척 종료 후 워터마크가 소량 검출되었습니다. 밸브 구동 전류/레벨 센서 신호/PLC 타임스탬프 불일치가 있는지 확인해 긴급 보전 우선순위를 판단해 주세요."
Q075,ANOMALY_CHECK,"Etcher 13번 챔버에서 지난 야간 이후 플라즈마 점화 시간이 평균 대비 1.5배 길어졌습니다. 두 레시피에서 모두 재현되고, 초기 막질 불량이 증가했습니다. 점화 전압/가스 퍼지/압력 안정화 구간 로그를 근거로 설비 이상 신호인지 평가 바랍니다."
Q076,ANOMALY_CHECK,"CVD 5번에서 히터 존 간 온도 편차가 스펙 상한 근처까지 증가했습니다. 금일 첫 런은 정상이었으나 이후 런에서 편차가 확대되는 추세입니다. 히터 드라이브 전류 분포/써미스터 캘리브 상태를 함께 확인해 즉시 다운 필요성을 판정해 주세요."
Q077,ANOMALY_CHECK,"Implanter 9번에서 빔 스캐닝 구간 중 특정 각도에서만 도즈 편차가 반복적으로 커집니다. 동일 웨이퍼 위치에서 두 런 연속 재현되었습니다. 스캐너 모터/자석 전류/챔버 압력 동기 로그를 분석해 원인 후보와 보전 필요 여부를 알려 주세요."

Q078,PREDICTION,"CMP 8번에서 슬러리 온도가 하루 평균 0.3℃씩 상승 중입니다. 이 추세가 유지되면 48시간 내 엔드포인트 변동과 디싱 불량률이 얼마나 올라갈지 정량 예측해 주세요. 개입이 필요한 임계 시점도 함께 제시 바랍니다."
Q079,PREDICTION,"Diffusion 6번 퍼니스에서 산소 유량 평균은 정상이나 분산이 소폭 증가했습니다. 현재 상태로 일주일 운전 시 산화 두께 산포가 스펙을 벗어날 확률을 추정하고, 위험 구간에 들어가는 예상 날짜를 알려 주세요."
Q080,PREDICTION,"PVD 3번의 진공 회복 시간에 주기성 있는 증가 패턴이 보입니다. 다음 72시간 처리량과 파티클 증가 가능성을 함께 예측하고, 회복 시간 임계치 도달 시점을 제공해 주세요. 야간 로드락 사용률 변화도 고려해 주세요."
Q081,PREDICTION,"Etcher 2번에서 RF_Power 리플이 미세하게 커지는 중입니다. 다음 교대(12시간)까지 엔드포인트 검출 실패 확률이 어느 정도로 상승할지, 레시피별 위험도 차이까지 포함해 예측해 주세요."
Q082,PREDICTION,"Photo 10번의 포커스 드리프트 보정 주기가 점차 짧아집니다. 36시간 내 오버레이 품질 저하가 발생할 확률과 생산 수율에 미칠 영향을 범위로 제시해 주세요. 환경 요인(온습도/진동) 반영 부탁드립니다."

Q083,CONTROL,"Wet 7번의 회전 안정도를 회복하기 위해 서보 파라미터(속도 루프/위치 루프) 소폭 보정을 적용하려 합니다. 안전 범위 제안값과 적용 순서, 모니터링 포인트 및 롤백 기준을 단계별로 문서화해 주세요."
Q084,CONTROL,"CVD 9번에서 Gas_Flow 튐 억제를 위해 MFC 램프/필터 교체 전 임시 제어 전략이 필요합니다. 가스 라인 압력/온도 보상과 알람 한계 재설정을 포함한 단기 제어안을 제시해 주세요."
Q085,CONTROL,"Etcher 11번의 엔드포인트 SNR을 높이기 위한 광학센서 게인/노치 필터 조정 절차를 제안해 주세요. 적용 전후 검증 스텝과 실패 시 자동 원복 로직도 포함 바랍니다."
Q086,CONTROL,"PVD 4번에서 타겟 컨디셔닝 조건을 최적화해 파티클을 줄이고자 합니다. 전력 프로파일/시간/압력 세트를 제안하고, 일시적 처리량 저하를 최소화하는 시퀀스를 설계해 주세요."
Q087,CONTROL,"Implanter 12번에서 도즈 편차를 줄이기 위해 빔 포커스/어벌추어/웨이퍼 온도 제어를 동시 조정하려 합니다. 상호작용을 고려한 안전한 튜닝 순서와 각 단계의 합격 기준을 정의해 주세요."

Q088,INFORMATION,"지난 24시간 동안 Photo 라인 전체에서 발생한 어라인먼트 실패 사례를 장비/레시피/마스크 기준으로 피벗 요약해 주세요. 재작업 여부와 MTTR도 표로 부탁드립니다."
Q089,INFORMATION,"CVD 1번/5번/9번 장비의 최근 일주일 막두께 균일도 분포와 Gas_Flow 알람 타임라인을 한 화면에 정리해 주세요. 이상 구간 주석과 레시피 버전도 함께 표시 바랍니다."
